Movie,AverageVote
"The Martian",7.6
"Finding Nemo",7.6
"Mulan",7.6
"The Little Prince",7.6
"Big Fish",7.6
"Jurassic Park",7.6
"The Hateful Eight",7.6
"Captain Phillips",7.6
"Kill Bill: Vol. 2",7.6
"The Iron Giant",7.6
"Indiana Jones and the Last Crusade",7.6
"Mystic River",7.6
"Rain Man",7.6
"The Untouchables",7.6
"Girl, Interrupted",7.6
"Me Before You",7.6
"Dances with Wolves",7.6
"Moonrise Kingdom",7.6
"Pan's Labyrinth",7.6
"Philadelphia",7.6
"The King's Speech",7.6
"The Princess Bride",7.6
"Mulholland Drive",7.6
"Slumdog Millionaire",7.6
"Ex Machina",7.6
"Dancer in the Dark",7.6
"Ernest & Celestine",7.6
"The Fault in Our Stars",7.6
"City of Life and Death",7.6
"Nightcrawler",7.6
"The Wild Bunch",7.6
"Emma",7.6
"Do the Right Thing",7.6
"Moon",7.6
"Evil Dead II",7.6
"Cat on a Hot Tin Roof",7.6
"Judgment at Nuremberg",7.6
"Days of Heaven",7.6
"Central Station",7.6
"Lage Raho Munna Bhai",7.6
"Riding Giants",7.6
"The Best Years of Our Lives",7.6
"The Hustler",7.6
"Before Sunset",7.6
"Amores perros",7.6
"Touching the Void",7.6
"In the Shadow of the Moon",7.6
"A Streetcar Named Desire",7.6
"The Bubble",7.6
"Hidden Away",7.6
"Pandora's Box",7.6
"The Conformist",7.6
"High Noon",7.6
"Pierrot le Fou",7.6
"A Fistful of Dollars",7.6
"Titanic",7.5
"X-Men: Days of Future Past",7.5
"How to Train Your Dragon",7.5
"Harry Potter and the Goblet of Fire",7.5
"Ratatouille",7.5
"Batman Begins",7.5
"Harry Potter and the Philosopher's Stone",7.5
"Pirates of the Caribbean: The Curse of the Black Pearl",7.5
"Monsters, Inc.",7.5
"Cast Away",7.5
"The Lego Movie",7.5
"Seven Pounds",7.5
"The Game",7.5
"JFK",7.5
"Fantastic Mr. Fox",7.5
"Baahubali: The Beginning",7.5
"Magnolia",7.5
"Gattaca",7.5
"Ponyo",7.5
"Die Hard",7.5
"The Blues Brothers",7.5
"Freedom Writers",7.5
"Edward Scissorhands",7.5
"Hotel Rwanda",7.5
"The Remains of the Day",7.5
"Boogie Nights",7.5
"Brazil",7.5
"Brokeback Mountain",7.5
"True Romance",7.5
"Glengarry Glen Ross",7.5
"The Exorcist",7.5
"Jaws",7.5
"Madadayo",7.5
"A Walk to Remember",7.5
"What's Eating Gilbert Grape",7.5
"Rushmore",7.5
"Amour",7.5
"Little Miss Sunshine",7.5
"Kicks",7.5
"The Wave",7.5
"Michael Jordan to the Max",7.5
"Control",7.5
"Platoon",7.5
"The Chorus",7.5
"Instructions Not Included",7.5
"Still Alice",7.5
"Shaun of the Dead",7.5
"Night of the Living Dead",7.5
"Boyhood",7.5
"A Man for All Seasons",7.5
"Rosemary's Baby",7.5
"Hud",7.5
"Man on Wire",7.5
"The Conversation",7.5
"Lock, Stock and Two Smoking Barrels",7.5
"Rocky",7.5
"Departure",7.5
"I Origins",7.5
"The Act of Killing",7.5
"Tarnation",7.5
"I Married a Strange Person!",7.5
"A Charlie Brown Christmas",7.5
"Eraserhead",7.5
"Tangled",7.4
"Harry Potter and the Half-Blood Prince",7.4
"The Avengers",7.4
"Star Trek Into Darkness",7.4
"Iron Man",7.4
"Harry Potter and the Order of the Phoenix",7.4
"Star Trek",7.4
"The Hunger Games: Catching Fire",7.4
"Harry Potter and the Chamber of Secrets",7.4
"American Gangster",7.4
"The Incredibles",7.4
"Fury",7.4
"Spirit: Stallion of the Cimarron",7.4
"Children of Men",7.4
"Almost Famous",7.4
"Deadpool",7.4
"American Sniper",7.4
"Anastasia",7.4
"Moulin Rouge!",7.4
"Back to the Future Part II",7.4
"Lone Survivor",7.4
"Serenity",7.4
"Donnie Brasco",7.4
"Lion of the Desert",7.4
"Remember the Titans",7.4
"Midnight in Paris",7.4
"Blow",7.4
"Atonement",7.4
"The Age of Adaline",7.4
"Glory",7.4
"Aladdin",7.4
"The Royal Tenenbaums",7.4
"Lucky Number Slevin",7.4
"Tombstone",7.4
"The Last Emperor",7.4
"Gandhi",7.4
"Sorcerer",7.4
"The Conjuring",7.4
"The French Connection",7.4
"Selma",7.4
"Synecdoche, New York",7.4
"The Book Thief",7.4
"Birdman",7.4
"The Others",7.4
"My Fair Lady",7.4
"Halloween",7.4
"McFarland, USA",7.4
"The Verdict",7.4
"Baby Boy",7.4
"Hot Fuzz",7.4
"Drive",7.4
"Love & Basketball",7.4
"In Bruges",7.4
"The Return",7.4
"Groundhog Day",7.4
"The Diving Bell and the Butterfly",7.4
"Flipped",7.4
"Tae Guk Gi: The Brotherhood of War",7.4
"Philomena",7.4
"Nebraska",7.4
"Doctor Zhivago",7.4
"The Secret Life of Bees",7.4
"Office Space",7.4
"Fiddler on the Roof",7.4
"Henry V",7.4
"The Sound of Music",7.4
"Veer-Zaara",7.4
"We Need to Talk About Kevin",7.4
"Dazed and Confused",7.4
"Boyz n the Hood",7.4
"Good bye, Lenin!",7.4
"Butch Cassidy and the Sundance Kid",7.4
"Mary Poppins",7.4
"Ordinary People",7.4
"The Last King of Scotland",7.4
"Hedwig and the Angry Inch",7.4
"High Plains Drifter",7.4
"Billy Elliot",7.4
"Rudderless",7.4
"Sling Blade",7.4
"Sympathy for Lady Vengeance",7.4
"Midnight Cowboy",7.4
"In Cold Blood",7.4
"The Nun's Story",7.4
"A Christmas Story",7.4
"The Man Who Shot Liberty Valance",7.4
"Waking Ned",7.4
"Before Midnight",7.4
"Willy Wonka & the Chocolate Factory",7.4
"Happiness",7.4
"The Wizard of Oz",7.4
"Silver Medalist",7.4
"This Is England",7.4
"Submarine",7.4
"Nine Queens",7.4
"The Lost Weekend",7.4
"Food, Inc.",7.4
"20 Feet from Stardom",7.4
"Circumstance",7.4
"Top Hat",7.4
"The Station Agent",7.4
"Intolerance",7.4
"Weekend",7.4
"Roger & Me",7.4
"Indie Game: The Movie",7.4
"Clerks",7.4
"Cure",7.4
"Avengers: Age of Ultron",7.3
"Furious 7",7.3
"The Great Gatsby",7.3
"Dawn of the Planet of the Apes",7.3
"The Curious Case of Benjamin Button",7.3
"Frozen",7.3
"The Last Samurai",7.3
"The Revenant",7.3
"The Bourne Ultimatum",7.3
"Gravity",7.3
"Casino Royale",7.3
"Blood Diamond",7.3
"The Fifth Element",7.3
"Toy Story 2",7.3
"Cinderella Man",7.3
"Memoirs of a Geisha",7.3
"All That Jazz",7.3
"Zodiac",7.3
"Road to Perdition",7.3
"Oceans",7.3
"Now You See Me",7.3
"The Insider",7.3
"Apollo 13",7.3
"Unbroken",7.3
"The Bourne Identity",7.3
"Coraline",7.3
"Man on Fire",7.3
"Changeling",7.3
"Lolita",7.3
"Shrek",7.3
"Inside Man",7.3
"The Book of Life",7.3
"The Life of David Gale",7.3
"Training Day",7.3
"Coach Carter",7.3
"Sleepers",7.3
"The Count of Monte Cristo",7.3
"Apocalypto",7.3
"The Crow",7.3
"Creed",7.3
"Saving Mr. Banks",7.3
"The Longest Ride",7.3
"District 9",7.3
"Southpaw",7.3
"Walk the Line",7.3
"The Big Short",7.3
"The Right Stuff",7.3
"O Brother, Where Art Thou?",7.3
"The World's Fastest Indian",7.3
"The Bridges of Madison County",7.3
"The Hundred-Foot Journey",7.3
"The Kite Runner",7.3
"Deconstructing Harry",7.3
"Adaptation.",7.3
"Predator",7.3
"Blow Out",7.3
"Ed Wood",7.3
"Hamlet",7.3
"Pitch Perfect",7.3
"When Harry Met Sally...",7.3
"The Artist",7.3
"Match Point",7.3
"Chiamatemi Francesco - Il Papa della gente",7.3
"Black Swan",7.3
"10 Things I Hate About You",7.3
"The Butterfly Effect",7.3
"Being John Malkovich",7.3
"The Funeral",7.3
"Star Trek II: The Wrath of Khan",7.3
"Jackie Brown",7.3
"Patton",7.3
"Frida",7.3
"The Great Beauty",7.3
"My Cousin Vinny",7.3
"If I Stay",7.3
"Dead Man Walking",7.3
"Woman in Gold",7.3
"Army of Darkness",7.3
"E.T. the Extra-Terrestrial",7.3
"The Red Violin",7.3
"Peaceful Warrior",7.3
"Volver",7.3
"Jab Tak Hai Jaan",7.3
"Sicko",7.3
"Beneath Hill 60",7.3
"American Psycho",7.3
"The Secret of Kells",7.3
"Begin Again",7.3
"A Single Man",7.3
"The Terminator",7.3
"The Return of the Living Dead",7.3
"The Wrestler",7.3
"Shine",7.3
"A Room for Romeo Brass",7.3
"Saint Ralph",7.3
"Y Tu Mamá También",7.3
"The Machinist",7.3
"Tucker and Dale vs Evil",7.3
"The Names of Love",7.3
"Airlift",7.3
"Lost in Translation",7.3
"Waiting for Guffman",7.3
"The Geographer Drank His Globe Away",7.3
"Annie Get Your Gun",7.3
"Bowling for Columbine",7.3
"Elmer Gantry",7.3
"Red River",7.3
"Pocketful of Miracles",7.3
"Mad Max 2: The Road Warrior",7.3
"The Triplets of Belleville",7.3
"The Lunchbox",7.3
"Spellbound",7.3
"The Raid",7.3
"4 Months, 3 Weeks and 2 Days",7.3
"Fruitvale Station",7.3
"The Mudge Boy",7.3
"A Hard Day's Night",7.3
"Wordplay",7.3
"Now Is Good",7.3
"The Evil Dead",7.3
"Once",7.3
"Avatar",7.2
"Mad Max: Fury Road",7.2
"Life of Pi",7.2
"The Emperor's New Groove",7.2
"Treasure Planet",7.2
"Black Hawk Down",7.2
"The Girl with the Dragon Tattoo",7.2
"Contact",7.2
"The Bourne Supremacy",7.2
"Ocean's Eleven",7.2
"Enemy at the Gates",7.2
"Scott Pilgrim vs. the World",7.2
"The Devil's Advocate",7.2
"Law Abiding Citizen",7.2
"The Thin Red Line",7.2
"As Good as It Gets",7.2
"Interview with the Vampire",7.2
"The Judge",7.2
"Eastern Promises",7.2
"The Boat That Rocked",7.2
"First Blood",7.2
"The Fugitive",7.2
"Hero",7.2
"Ray",7.2
"Sin City",7.2
"Bridge of Spies",7.2
"Mean Streets",7.2
"The Hurricane",7.2
"The Hangover",7.2
"The Blind Side",7.2
"True Grit",7.2
"A Nightmare on Elm Street",7.2
"Malcolm X",7.2
"The Reader",7.2
"Cradle Will Rock",7.2
"The Hunt for Red October",7.2
"The Butler",7.2
"Legends of the Fall",7.2
"Corpse Bride",7.2
"Glory Road",7.2
"Sicario",7.2
"Midnight Run",7.2
"Barney's Version",7.2
"Frost/Nixon",7.2
"Dark City",7.2
"Taken",7.2
"The Best of Me",7.2
"The Omen",7.2
"Finding Neverland",7.2
"Eddie the Eagle",7.2
"The Fisher King",7.2
"Zombieland",7.2
"I Am Sam",7.2
"Black Book",7.2
"Joyeux Noël",7.2
"Close Encounters of the Third Kind",7.2
"Kung Fu Hustle",7.2
"21 Grams",7.2
"Fear and Loathing in Las Vegas",7.2
"Life as a House",7.2
"The White Ribbon",7.2
"Sense and Sensibility",7.2
"White Oleander",7.2
"Enter the Void",7.2
"Crouching Tiger, Hidden Dragon",7.2
"Coal Miner's Daughter",7.2
"End of Watch",7.2
"The Hurt Locker",7.2
"Kiss Kiss Bang Bang",7.2
"Sarah's Key",7.2
"The Sea Inside",7.2
"Letters from Iwo Jima",7.2
"The Muppet Christmas Carol",7.2
"The Fighter",7.2
"Brooklyn",7.2
"Inside Llewyn Davis",7.2
"The Longest Day",7.2
"Crash",7.2
"The Texas Chain Saw Massacre",7.2
"The Wailing",7.2
"Yeh Jawaani Hai Deewani",7.2
"Escape from Alcatraz",7.2
"Much Ado About Nothing",7.2
"(500) Days of Summer",7.2
"Dope",7.2
"The Boondock Saints",7.2
"The Damned United",7.2
"Grease",7.2
"Morvern Callar",7.2
"The Train",7.2
"Rang De Basanti",7.2
"Somewhere in Time",7.2
"Pat Garrett & Billy the Kid",7.2
"25th Hour",7.2
"Menace II Society",7.2
"Goldfinger",7.2
"Frances Ha",7.2
"Blazing Saddles",7.2
"My Life Without Me",7.2
"Religulous",7.2
"Fantasia",7.2
"The Legend of Drunken Master",7.2
"Boys Don't Cry",7.2
"Ghost Dog: The Way of the Samurai",7.2
"No End in Sight",7.2
"The Lady from Shanghai",7.2
"Nowhere Boy",7.2
"Run Lola Run",7.2
"You Can't Take It With You",7.2
"From Here to Eternity",7.2
"Saw",7.2
"Dead Man's Shoes",7.2
"Shine a Light",7.2
"Who Killed the Electric Car?",7.2
"Antarctica: A Year on Ice",7.2
"Bloody Sunday",7.2
"Dogtown and Z-Boys",7.2
"Aroused",7.2
"The Hobbit: The Battle of the Five Armies",7.1
"Captain America: Civil War",7.1
"Wreck-It Ralph",7.1
"X-Men: First Class",7.1
"Mission: Impossible - Rogue Nation",7.1
"Rise of the Guardians",7.1
"Fast Five",7.1
"Total Recall",7.1
"Star Wars: Episode III - Revenge of the Sith",7.1
"Minority Report",7.1
"The Spanish Prisoner",7.1
"Gangs of New York",7.1
"The Flowers of War",7.1
"Lilo & Stitch",7.1
"The Man from U.N.C.L.E.",7.1
"The Abyss",7.1
"Stardust",7.1
"Despicable Me",7.1
"Ice Age",7.1
"Les Misérables",7.1
"Eyes Wide Shut",7.1
"Perfume: The Story of a Murderer",7.1
"The Equalizer",7.1
"A Very Long Engagement",7.1
"The Godfather: Part III",7.1
"Erin Brockovich",7.1
"The Life Aquatic with Steve Zissou",7.1
"K-PAX",7.1
"Across the Universe",7.1
"Nixon",7.1
"Argo",7.1
"The Social Network",7.1
"Back to the Future Part III",7.1
"Dracula",7.1
"The Intern",7.1
"The Last of the Mohicans",7.1
"The Hudsucker Proxy",7.1
"Red Cliff",7.1
"The Express",7.1
"Reds",7.1
"A Few Good Men",7.1
"Source Code",7.1
"Cats Don't Dance",7.1
"Stranger Than Fiction",7.1
"Indiana Jones and the Temple of Doom",7.1
"Identity",7.1
"Kick-Ass",7.1
"My Sister's Keeper",7.1
"Silverado",7.1
"August Rush",7.1
"Elizabeth",7.1
"Big Trouble in Little China",7.1
"Little White Lies",7.1
"South Park: Bigger, Longer & Uncut",7.1
"Milk",7.1
"Nerve",7.1
"Reign Over Me",7.1
"The Proposition",7.1
"The Painted Veil",7.1
"The Baader Meinhof Complex",7.1
"The Illusionist",7.1
"Home Alone",7.1
"National Lampoon's Vacation",7.1
"Beetlejuice",7.1
"Amen.",7.1
"Good Morning, Vietnam",7.1
"St. Vincent",7.1
"This Christmas",7.1
"Quest for Fire",7.1
"Lars and the Real Girl",7.1
"House of Flying Daggers",7.1
"Trash",7.1
"The Good, The Bad, The Weird",7.1
"Red Dog",7.1
"Trading Places",7.1
"The Wind That Shakes the Barley",7.1
"28 Days Later",7.1
"Thank You for Smoking",7.1
"The Piano",7.1
"The Visitors",7.1
"Freeheld",7.1
"The Messenger",7.1
"The Wood",7.1
"The Virgin Suicides",7.1
"Videodrome",7.1
"Ghost World",7.1
"Irreversible",7.1
"Headhunters",7.1
"The Way Way Back",7.1
"Race",7.1
"Soul Kitchen",7.1
"Take Shelter",7.1
"Whale Rider",7.1
"Leaving Las Vegas",7.1
"They Live",7.1
"The Orphanage",7.1
"Mondays in the Sun",7.1
"1776",7.1
"Airplane!",7.1
"Frenzy",7.1
"Point Blank",7.1
"Ida",7.1
"Maurice",7.1
"Fat, Sick & Nearly Dead",7.1
"Kevin Hart: Let Me Explain",7.1
"My Own Private Idaho",7.1
"Garden State",7.1
"[REC]",7.1
"American Splendor",7.1
"Dinner Rush",7.1
"It's All Gone Pete Tong",7.1
"She Wore a Yellow Ribbon",7.1
"Buffalo '66",7.1
"Woodstock",7.1
"Deceptive Practice: The Mysteries and Mentors of Ricky Jay",7.1
"The Married Woman",7.1
"The Mighty",7.1
"Pi",7.1
"Pirates of the Caribbean: Dead Man's Chest",7
"Monsters University",7
"Hugo",7
"Maleficent",7
"The Hobbit: An Unexpected Journey",7
"Watchmen",7
"Ant-Man",7
"Sherlock Holmes: A Game of Shadows",7
"The Aviator",7
"The Road to El Dorado",7
"Rise of the Planet of the Apes",7
"The Secret Life of Walter Mitty",7
"Sherlock Holmes",7
"Fantasia 2000",7
"Despicable Me 2",7
"The Terminal",7
"War Horse",7
"Seven Years in Tibet",7
"300",7
"Collateral",7
"Invictus",7
"The Last Castle",7
"Crimson Tide",7
"Paddington",7
"The Phantom of the Opera",7
"Patch Adams",7
"22 Jump Street",7
"Crazy, Stupid, Love.",7
"Moneyball",7
"13 Hours: The Secret Soldiers of Benghazi",7
"Star Trek: First Contact",7
"The Bucket List",7
"Love Actually",7
"Finding Forrester",7
"Notting Hill",7
"Lord of War",7
"A Time to Kill",7
"The Conjuring 2",7
"The Talented Mr. Ripley",7
"The Lincoln Lawyer",7
"Pay It Forward",7
"The Impossible",7
"Sunshine",7
"The Master",7
"The Town",7
"John Q",7
"Batman",7
"The Devil Wears Prada",7
"Cape Fear",7
"The English Patient",7
"Poltergeist",7
"Concussion",7
"The Young Victoria",7
"Biutiful",7
"The Maze Runner",7
"The Age of Innocence",7
"Men of Honor",7
"Out of Africa",7
"Frequency",7
"The Vow",7
"The Assassination of Jesse James by the Coward Robert Ford",7
"Goodbye Bafana",7
"Miracle",7
"Winged Migration",7
"The NeverEnding Story",7
"Open Range",7
"Mrs. Doubtfire",7
"Bridge to Terabithia",7
"A Madea Christmas",7
"The Hours",7
"Angela's Ashes",7
"Lords of Dogtown",7
"Carnage",7
"Waterloo",7
"Dangerous Liaisons",7
"Arlington Road",7
"For Colored Girls",7
"Selena",7
"Doubt",7
"High Fidelity",7
"Capitalism: A Love Story",7
"Bullets Over Broadway",7
"Little Boy",7
"Chasing Mavericks",7
"Scream",7
"Blue Jasmine",7
"127 Hours",7
"Salton Sea",7
"Superbad",7
"Running Scared",7
"My Girl",7
"Wall Street",7
"House of Sand and Fog",7
"Radio Days",7
"Little Women",7
"Wild",7
"One Day",7
"The Three Burials of Melquiades Estrada",7
"The Company",7
"Pretty Woman",7
"The Land Before Time",7
"WarGames",7
"Witness",7
"Frailty",7
"The Bélier Family",7
"Oliver!",7
"Mud",7
"A Better Life",7
"It's a Mad, Mad, Mad, Mad World",7
"Melancholia",7
"Loose Cannons",7
"All or Nothing",7
"Red Riding: In the Year of Our Lord 1974",7
"Limbo",7
"Quo Vadis",7
"The Muppet Movie",7
"Brown Sugar",7
"50/50",7
"Anomalisa",7
"Another Year",7
"Imagine Me & You",7
"Mr. Church",7
"Driving Miss Daisy",7
"Juno",7
"Beyond the Lights",7
"The Last Temptation of Christ",7
"Pale Rider",7
"Go",7
"The Andromeda Strain",7
"Nowhere in Africa",7
"Shame",7
"Layer Cake",7
"West Side Story",7
"The Spanish Apartment",7
"Monster",7
"Heavenly Creatures",7
"Sleep Tight",7
"I Served the King of England",7
"Dear Frankie",7
"Fast Times at Ridgemont High",7
"Salvador",7
"Exiled",7
"Sexy Beast",7
"Shooting Fish",7
"Four Lions",7
"Friday",7
"Animal House",7
"Krush Groove",7
"The Black Stallion",7
"Timecrimes",7
"Get on the Bus",7
"Elling",7
"Sleeper",7
"Me and You and Everyone We Know",7
"Under the Same Moon",7
"Rocket Singh: Salesman of the Year",7
"Fireproof",7
"Twin Falls Idaho",7
"Metropolitan",7
"The Big Parade",7
"Pirates of the Caribbean: At World's End",6.9
"Skyfall",6.9
"I Am Legend",6.9
"Troy",6.9
"Master and Commander: The Far Side of the World",6.9
"Kung Fu Panda",6.9
"Men in Black",6.9
"Die Hard: With a Vengeance",6.9
"Bicentennial Man",6.9
"Divergent",6.9
"Meet Joe Black",6.9
"The Hunger Games",6.9
"Thirteen Days",6.9
"The Rock",6.9
"Munich",6.9
"Unbreakable",6.9
"The Simpsons Movie",6.9
"Two Brothers",6.9
"Agora",6.9
"Marley & Me",6.9
"Shooter",6.9
"Superman",6.9
"Burlesque",6.9
"Man on the Moon",6.9
"Stepmom",6.9
"Traffic",6.9
"3:10 to Yuma",6.9
"Galaxy Quest",6.9
"Pinocchio",6.9
"The Karate Kid",6.9
"Extremely Loud & Incredibly Close",6.9
"Quest for Camelot",6.9
"Precious",6.9
"The Bad News Bears",6.9
"Wonder Boys",6.9
"The Walk",6.9
"A History of Violence",6.9
"Mr. Holland's Opus",6.9
"Chicago",6.9
"P.S. I Love You",6.9
"Secondhand Lions",6.9
"The Next Three Days",6.9
"Cry Freedom",6.9
"Safe Haven",6.9
"A Passage to India",6.9
"Notes on a Scandal",6.9
"A Bridge Too Far",6.9
"The Passion of the Christ",6.9
"Tora! Tora! Tora!",6.9
"August: Osage County",6.9
"Punch-Drunk Love",6.9
"The Greatest Game Ever Played",6.9
"Star Trek IV: The Voyage Home",6.9
"Ghost",6.9
"Death at a Funeral",6.9
"Silver Linings Playbook",6.9
"The Last Song",6.9
"Babel",6.9
"From Dusk Till Dawn",6.9
"Equilibrium",6.9
"Big",6.9
"Mean Girls",6.9
"United 93",6.9
"Soul Surfer",6.9
"The Ice Storm",6.9
"RockNRolla",6.9
"Day of the Dead",6.9
"Sideways",6.9
"A Simple Plan",6.9
"Becoming Jane",6.9
"Remember Me",6.9
"The White Countess",6.9
"Tootsie",6.9
"What's Love Got to Do with It",6.9
"Where the Heart Is",6.9
"The Great Debaters",6.9
"Grosse Pointe Blank",6.9
"Manderlay",6.9
"Poetic Justice",6.9
"Little Children",6.9
"Clueless",6.9
"Far from Heaven",6.9
"The Emperor's Club",6.9
"Think Like a Man",6.9
"Rounders",6.9
"Cadillac Records",6.9
"Ravenous",6.9
"2046",6.9
"Duma",6.9
"Triangle",6.9
"Gremlins",6.9
"The Best Exotic Marigold Hotel",6.9
"The Outsiders",6.9
"The Dead Zone",6.9
"Rescue Dawn",6.9
"I Am Love",6.9
"Of Horses and Men",6.9
"Richard III",6.9
"Set It Off",6.9
"Velvet Goldmine",6.9
"Howards End",6.9
"8 Women",6.9
"It's Kind of a Funny Story",6.9
"When Did You Last See Your Father?",6.9
"Wuthering Heights",6.9
"Stargate: The Ark of Truth",6.9
"Escape from New York",6.9
"City Island",6.9
"Only the Strong",6.9
"Clerks II",6.9
"Lone Star",6.9
"Diner",6.9
"Rabbit Hole",6.9
"Moby Dick",6.9
"Bound",6.9
"R.L. Stine's Monsterville: The Cabinet of Souls",6.9
"Love and Death on Long Island",6.9
"The Crying Game",6.9
"The Front Page",6.9
"Holy Motors",6.9
"The Ballad of Cable Hogue",6.9
"March of the Penguins",6.9
"Adam",6.9
"Maria Full of Grace",6.9
"Coming Home",6.9
"A Room with a View",6.9
"Tsotsi",6.9
"Fish Tank",6.9
"Hustle & Flow",6.9
"Show Boat",6.9
"From Russia with Love",6.9
"Freeze Frame",6.9
"Brotherly Love",6.9
"Deadline - U.S.A.",6.9
"The Squid and the Whale",6.9
"Wal-Mart: The High Cost of Low Price",6.9
"Snow White and the Seven Dwarfs",6.9
