,attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping,sentiment
38,,good,average,good,0,19344659,0,,good,4,ME795,Lively professor :) Fully loaded course though :(,11/30/2011,3.0,3.0,,4,Really into it,4.0,4.0,1,Yes,1322683120000,,580,,,,[],people,people,-0.03787878787878788
39,,poor,good,poor,0,17405235,2,,awful,1,ENG101,Terrible.  Has a pure hatred for all students.,07/09/2010,5.0,5.0,,1,Meh,1.0,1.0,3,No,1278692110000,,580,,,,[],people,people,-0.39285714285714285
40,,good,average,good,1,15500958,3,,awesome,5,BE410,Very good in class,03/02/2009,2.0,2.0,,4,Really into it,4.5,4.5,1,Yes,1236031670000,,580,,,,[],people,person,0.9099999999999999
41,,good,average,good,0,12766370,3,,awesome,5,BE430,"quintessential nice guy, but the material is a bit too much for one course",01/12/2007,3.0,3.0,,5,Sorta interested,5.0,5.0,1,Yes,1168615129000,,580,,,,[],people,people,0.4
42,,good,average,good,0,761969,0,,awesome,5,ADVISING,No Comments,03/29/2003,3.0,3.0,,5,,5.0,5.0,1,,1048975546000,,580,,,,[],people,people,0.0
43,,good,average,good,0,585119,1,,awesome,5,6561,No Comments,02/18/2003,3.0,3.0,,5,,5.0,5.0,1,,1045606028000,,580,,,,[],person,people,0.0
44,Not Mandatory,poor,average,poor,0,31653225,0,,awful,1,EE6012,Easily the worst lecturer in EECS. Thinks that crunching numbers on calculators is learning. Shies away from math. Has a temper.,04/23/2019,3.0,3.0,,1,,1.0,1.0,1,No,1556042265000,No,580,Yes,,,"['Test heavy', 'Lots of homework']",people,people,-0.2833333333333333
45,,average,good,average,1,23895942,0,,average,2,ECE6720,"Simply horrible! He has a bad temper. When you ask him questions, he does get angry. Yes, if you do have questions you can make an appointment with him in his office, but do not ask too many questions just to save your day from getting depressed. ",11/26/2014,4.0,4.0,,3,Really into it,2.5,2.5,1,Yes,1416963673000,,580,Yes,,,[],people,person,-0.42499999999999993
46,,average,average,average,1,14186002,0,,poor,2,EE720,"He rarely used the board to explain the materials. He always used the powerpoint to explain things. To me, this is not a way of explaining semiconductor physics. One time I went to ask him few questions, and at the end he got very angry for not understanding him. He has a bad temper. All I can say is that,  his teaching is horrible!",03/20/2008,3.0,3.0,,2,Really into it,2.0,2.0,1,No,1206040855000,,580,,,,[],people,person,-0.45
47,,good,average,good,0,13781339,1,,awesome,5,EE6012,the best,12/09/2007,3.0,3.0,,4,Sorta interested,4.5,4.5,1,Yes,1197208254000,,580,,,,[],person,people,1.0
48,Mandatory,poor,good,poor,1,10080710,0,,awful,1,6012,No Comments,08/01/2005,4.0,4.0,,1,Low,1.0,1.0,1,,1122919097000,,580,,,,[],people,person,0.0
49,,poor,good,poor,0,2433371,0,,awful,1,6012,horrible!,08/30/2004,5.0,5.0,,1,,1.0,1.0,1,,1093900704000,,580,,,,[],people,people,-1.0
50,Mandatory,good,average,good,2,23633761,0,,awesome,5,6002,His lectures were very clear.  He was a very nice guy.  I took his class a long time ago. ,10/06/2014,3.0,3.0,,4,Sorta interested,4.5,4.5,1,Yes,1412628030000,,580,Yes,,,['Respected'],people,people,0.2866666666666667
51,,good,average,good,1,18425811,0,,awesome,5,EE6002,Great teacher.  Very nice guy.  MIT needs more profs like Paul Gray.  Took his class (6.002) a long time ago.,04/18/2011,2.0,2.0,,5,Really into it,5.0,5.0,1,Yes,1303093951000,,580,,,,[],people,person,0.5075000000000001
52,,average,average,poor,0,11807731,3,,poor,2,6002,"When he lectured 6.002, we got sloppy handwritten lecture notes every day which were difficult to decipher. Then we'd get a full sheet of corrections from the previous lecture. He just stumbles and makes mistakes on a regular basis.",05/02/2006,2.0,2.0,,1,Meh,1.5,1.5,1,,1146603066000,,580,,,,[],people,people,-0.14666666666666667
53,,good,average,good,2,10338509,0,,awesome,5,6002,"When I had him as a TA, I felt sorry for him that he was old but still a TA.  Didn't realize that he'd founded the class, been president of MIT, had a building named after him.  A really nice guy.",09/01/2005,2.0,2.0,,5,It's my life,5.0,5.0,1,,1125583250000,,580,,,,[],people,people,0.06666666666666665
54,,good,average,good,0,3952205,0,,awesome,5,6002,No Comments,06/02/2005,3.0,3.0,,5,Really into it,5.0,5.0,1,,1117678749000,,580,,,,[],people,people,0.0
55,,good,poor,good,2,2914056,0,,awesome,5,6002,"mit needs more professors like professor gray. he's devoted, passionate, caring, and he knows what he's doing.",12/05/2004,1.0,1.0,,5,It's my life,5.0,5.0,1,,1102268542000,,580,,,,[],people,people,0.225
56,,good,poor,good,1,1056828,0,,awesome,5,6002,he's old but still good,07/20/2003,1.0,1.0,,5,,5.0,5.0,1,,1058709776000,,580,,,,[],people,person,0.39999999999999997
57,Mandatory,good,average,good,0,31874717,0,,good,4,16.393,"I think if there are lecture notes, it will be better to review and form a more systematic view of the content of this course.",05/15/2019,3.0,3.0,,4,,4.0,4.0,1,No,1557880024000,Yes,580,Yes,,,"['Respected', 'Inspirational', 'Caring']",people,people,0.5
58,Mandatory,good,average,good,0,31871625,0,,awesome,5,16.393,Prof. Win is a great professor. The lecture covers not only wide topics of communication theory but also interesting scientific histories.,05/14/2019,2.0,2.0,,5,,5.0,5.0,1,No,1557863747000,Yes,580,Yes,,,"['Inspirational', 'Caring', 'Respected']",people,people,0.4
59,Not Mandatory,good,average,good,0,31818297,0,,awesome,5,AA391,The class made me realize how deep communication theory is.,05/09/2019,3.0,3.0,,5,,5.0,5.0,1,No,1557362983000,Yes,580,Yes,,,"['Gives good feedback', 'Amazing lectures', 'Respected']",people,people,0.0
60,Mandatory,good,average,good,0,31796205,0,,awesome,5,16.393,"The lectures cover topics of communication and localization in a rigorous, yet informative manner.",05/07/2019,2.0,2.0,,5,,5.0,5.0,1,No,1557242227000,Yes,580,Yes,,Not sure yet,"['Accessible outside class', 'Participation matters', ""Skip class? You won't pass.""]",people,people,0.0
61,Not Mandatory,good,average,good,2,31789007,0,,awesome,5,16.393,"Prof. Win is a great teacher. He explains the contents in a clear and insightful way. Besides the knowledge, he also focused on the methodology and philosophy behind the solution. I've been benefited a lot in his class.",05/06/2019,3.0,3.0,,5,,5.0,5.0,1,Yes,1557182222000,Yes,580,Yes,,,"['Amazing lectures', 'Gives good feedback']",people,people,0.32500000000000007
62,Not Mandatory,good,average,good,1,31165879,0,,awesome,5,6.434,"I learned a lot useful things from statistics course taught by Prof. Win. He gives very clear lectures, and he is always nice and patient when we interact after class and during office hours. Another thing worth mentioning is that I get a lot of inspiration and encouragement from his own research experience in industry and academia he shared.",12/28/2018,3.0,3.0,,5,,5.0,5.0,1,Yes,1545958834000,Yes,580,Yes,,,"['Respected', 'Gives good feedback', 'Amazing lectures']",people,person,0.455
63,Not Mandatory,good,average,good,2,31150171,0,online,awesome,5,16.391,"His lectures were very clear, thorough, and balanced among giving students a good sense of theory and fundamentals, real-life applications of topics, and examples of how to solve problems. And all the TAs are very patient and helpful. I would highly recommend take a class of this professor.",12/24/2018,2.0,2.0,,5,,5.0,5.0,1,Yes,1545676006000,Yes,580,Yes,,,[],people,people,0.2975
64,,good,average,good,1,31027681,0,,awesome,5,16.391,"Great professor - really wants to make sure his students understand the material. Will take time during lecture to tell relevant stories - giving a much needed breaks from the dense technical material. He is also not a slave to the syllabus schedule, slowing down the class if it means students will understand the material better.",12/14/2018,3.0,3.0,,5,,5.0,5.0,1,Yes,1544807706000,Yes,580,Yes,,A,"['Hilarious', 'Accessible outside class', 'Caring']",people,person,0.3055555555555556
65,Not Mandatory,good,average,good,1,31027625,0,,awesome,5,16.391,PROFESSOR WIN IS THE MAN,12/14/2018,3.0,3.0,,5,,5.0,5.0,1,Yes,1544807531000,Yes,580,Yes,,,"['Hilarious', 'Caring', 'Clear grading criteria']",people,person,0.8
66,Not Mandatory,good,average,good,1,30877214,0,,awesome,5,6.434,Professor Win is a great teacher. He knows what he is talking about and is able to very clearly convey the material. He is also very understanding and the class has been one of the best that I have taken at MIT.,12/05/2018,3.0,3.0,,5,,5.0,5.0,1,No,1544020697000,Yes,580,Yes,,,"['Inspirational', 'Caring', 'Hilarious']",people,person,0.5716666666666667
67,Mandatory,good,good,good,0,30677541,0,,awesome,5,6.434,He injects life into what is otherwise a very dry subject. The manner which his TAs comnits themselves to his class suggests that he is very well respected and a caring professor.,11/07/2018,4.0,4.0,,5,,5.0,5.0,1,Yes,1541601321000,Yes,580,Yes,,Not sure yet,"['Caring', 'Test heavy', 'Respected']",people,people,-0.017777777777777764
68,Not Mandatory,good,average,good,1,30125020,1,,awesome,5,16.393,Prof. Win gave a great lecture. My favorite part is that Prof. Win has introduced many experiences of himself. I think those experiences and suggestions are precious for my future study.,05/16/2018,2.0,2.0,,5,,5.0,5.0,1,No,1526479205000,Yes,580,Yes,,,"['Inspirational', 'Accessible outside class', 'Gives good feedback']",person,person,0.5571428571428572
69,,good,average,good,3,30125010,0,,awesome,5,16.393,He is a great professor and explains the contents in a clear and insightful way. All his lectures are very informative and clear.,05/16/2018,2.0,2.0,,5,,5.0,5.0,1,Yes,1526479165000,Yes,580,Yes,,,"['Gives good feedback', 'Caring', 'Inspirational']",people,people,0.30000000000000004
70,,good,average,good,0,29143210,2,,awesome,5,6434,"Prof. Win is fantastic. Coming from a non-math/engineering background, I had to work harder than the average student in this class, but Prof. Win did a great job of making the material accessible/intuitive, and offered plenty of help outside of lectures. He genuinely cares about his students, absolutely recommended!",12/11/2017,3.0,3.0,,5,,5.0,5.0,1,Yes,1513034048000,Yes,580,Yes,,,"['Caring', 'Inspirational']",people,people,0.3555555555555555
71,,good,good,good,0,28358144,0,,awesome,5,16.S399,"Great course on communication and localization theory, providing solid illustrations for the application of estimation and detection theory on system design. The materials are well organized.",05/21/2017,4.0,4.0,,5,,5.0,5.0,1,No,1495396755000,Yes,580,Yes,,,[],people,people,0.4
72,Mandatory,good,average,good,0,28339836,0,,awesome,5,16.S399,"Professor Moe Win's 16.S399 course had excellent lectures with comprehensive, technical information. I learned an extensive amount about localization theory and digital communication through the lectures and recommended reaching material. Professor Win's courses never disappoint if you are looking to gain greater technical depth!",05/18/2017,3.0,3.0,,5,,5.0,5.0,1,No,1495103542000,Yes,580,Yes,,Not sure yet,"['Amazing lectures', 'Respected', 'Inspirational']",people,people,0.3875
73,Not Mandatory,good,average,good,0,28331862,0,,awesome,5,16.S399,"This is an excellent course on communication and localization. It covers essential topics in this field, including  modulation theory, spectral analysis, and fundamentals in radar systems, etc. The course is very well organized, and the teaching pace is just right. I learnt a lot from this course.",05/17/2017,3.0,3.0,,5,,5.0,5.0,1,No,1495025748000,Yes,580,Yes,,,"['Inspirational', 'Amazing lectures']",people,people,0.37142857142857144
74,,good,average,good,0,28321797,0,,awesome,5,16.S399,A great lecturer. Inspirational,05/16/2017,3.0,3.0,,5,,5.0,5.0,1,No,1494937773000,Yes,580,Yes,,,['Inspirational'],people,people,0.65
75,,good,average,good,0,27614840,0,,awesome,5,6.434,Great Professor. Very organised and accessible outside the class. He is well prepared for his class and some of the proofs he present during class is super clever. Would highly recommend take a class of this professor.,12/23/2016,3.0,3.0,,5,,5.0,5.0,1,Yes,1482531461000,Yes,580,Yes,,,"['Accessible outside class', 'Amazing lectures', 'Inspirational']",people,people,0.254375
76,Not Mandatory,good,good,good,0,27478718,0,,awesome,5,AA391,"This was a great course for students to learn statistics regardless of their academic major or amount of background with statistics (beginner or some experience). His lectures were very clear, thorough, and balanced among giving students a good sense of theory and fundamentals, real-life applications of topics, and examples of how to solve problems",12/13/2016,4.0,4.0,,5,,5.0,5.0,1,Yes,1481665602000,Yes,580,Yes,,,"['Accessible outside class', 'Amazing lectures', 'Caring']",people,people,0.33849999999999997
77,Not Mandatory,good,good,good,0,27317541,0,,awesome,5,EECS6434,Great lectures and great personality.,12/02/2016,4.0,4.0,,5,,5.0,5.0,1,Yes,1480720290000,Yes,580,Yes,,,"['Amazing lectures', 'Inspirational', 'Gives good feedback']",people,people,0.8
78,Mandatory,good,average,good,0,27071066,0,,awesome,5,EECS6434,"This class is suitable for the newbie to statistics, the professor really cares to make every student understand the core conceptions in statistics",10/24/2016,3.0,3.0,,5,,5.0,5.0,1,Yes,1477320614000,Yes,580,Yes,,,"['Inspirational', 'Amazing lectures', 'Caring']",people,people,0.375
79,,good,average,good,2,26602022,0,,awesome,5,16S399,"This course is very organized and helps me obtain a deeper understanding in how modern communication systems are designed.  In addition, Prof. Win is very nice and patient.  He is very willing to discuss about the important concepts and technical details with the students.",05/17/2016,3.0,3.0,,5,,5.0,5.0,1,No,1463517722000,Yes,580,Yes,,,"['Amazing lectures', 'Inspirational']",people,people,0.38642857142857145
80,,good,average,good,1,26567734,0,,awesome,5,16S399,Lectures are clear and stimulating. Perfect for those who wish to achieve a deep understanding of communication theory.,05/13/2016,3.0,3.0,,5,,5.0,5.0,1,No,1463156262000,,580,Yes,,,"['Inspirational', 'Caring', 'Gives good feedback']",people,person,0.3666666666666667
81,Not Mandatory,good,poor,good,1,26517124,0,,awesome,5,16S399,"The course is about many useful topics of communications, given with high level of insight and mathematical rigor.",05/09/2016,1.0,1.0,,4,,4.5,4.5,1,No,1462819326000,Yes,580,,,,['Inspirational'],people,person,0.24000000000000002
82,Not Mandatory,good,poor,good,1,26517080,1,,awesome,5,16S399,Professor is nice and patient. I learnt a lot from this course.,05/09/2016,1.0,1.0,,5,,5.0,5.0,1,No,1462819107000,,580,,,,"['Gives good feedback', 'Inspirational', 'Respected']",person,person,0.6
83,,good,good,good,2,26514227,0,,awesome,5,16S399,The classes are inspirational. I learned not only the technical stuff but also some methodology and philosophy.,05/09/2016,4.0,4.0,,5,,5.0,5.0,1,Yes,1462807289000,,580,Yes,,,"['Participation matters', 'Inspirational', 'Amazing lectures']",people,people,0.16666666666666666
84,,good,average,good,2,26463818,0,,awesome,5,16S399,Prof. Win is very generous with his time and desires to help students learn. He is comfortably familiar with the material.,05/04/2016,2.0,2.0,,5,,5.0,5.0,1,Yes,1462368952000,,580,,,,[],people,people,0.4583333333333333
85,Mandatory,good,average,good,3,25890014,0,,awesome,5,EECS434,"Really great professor! Very willing to sit down to talk over conceptual questions after class or any time, even outside of office hours. He maintains rigorously consistent notations, which really helps with learning the finesse in statistics. Finally, he maintains a set of study guide for each topic which are textbook grade. Highly recommend!",01/06/2016,3.0,3.0,,5,Really into it,5.0,5.0,1,Yes,1452100746000,,580,Yes,,,"['Respected', 'Gives good feedback', 'Inspirational']",people,people,0.22743055555555552
86,Not Mandatory,good,average,good,1,25729832,0,,awesome,4,EECS6434,Prof. Win is very generous with his time and desires to help students learn. He is comfortably familiar with the material. He is also lenient in grading! ,12/16/2015,2.0,2.0,,5,Really into it,4.5,4.5,1,Yes,1450289718000,,580,,,Audit/No Grade,"['Caring', 'Inspirational', 'Gives good feedback']",people,person,0.5
87,,good,average,good,0,25708372,0,,awesome,5,AA391,Prof. Win is a great teacher. Lectures are interesting and well explained. Very helpful and open to feedback.,12/15/2015,3.0,3.0,,5,Really into it,5.0,5.0,1,Yes,1450198942000,,580,Yes,,,"['Caring', 'Gives good feedback', 'Respected']",people,people,0.4600000000000001
88,,good,average,good,1,25249147,0,,awesome,5,6434,"This is a great class for people who want to learn statistics. Prof. Win is very nice and helpful, especially he is extremely patient to answer all questions in the class, even some of them are kind of basic. Also, the lectures are amazingly clear. I enjoy this class and expect to learn more of the statistics in the rest of the class.",10/13/2015,3.0,3.0,,5,It's my life,5.0,5.0,1,Yes,1444750095000,,580,Yes,,,"['Inspirational', 'Gives good feedback', 'Amazing lectures']",people,person,0.41444444444444445
89,Not Mandatory,good,average,good,0,24257182,0,,awesome,5,6434,His lecture is very clear which saves my time after class. He cares his class and his class students. I learn things from his class.,01/08/2015,3.0,3.0,,5,Really into it,5.0,5.0,1,Yes,1420756529000,,580,Yes,,,[],people,people,0.13000000000000003
90,Not Mandatory,good,good,good,0,24044647,0,,awesome,4,6434,"Great professor. Literally saved my semester. I really wish I'd studied more for this class. I don't have my grade yet, but whatever it is, prof win deserves a portion of that. So helpful!",12/11/2014,4.0,4.0,,5,Really into it,4.5,4.5,1,Yes,1418335419000,,580,Yes,,Not sure yet,['Gives good feedback'],people,people,0.625
91,Mandatory,good,average,good,0,24036477,0,,awesome,5,16391,Excellent professor.  Clear lectures.  Homework assignments were very relevant to course material.  Cares for students' learning and will work hard in office hours to make sure material is well understood.,12/11/2014,3.0,3.0,,4,It's my life,4.5,4.5,1,Yes,1418308434000,Yes,580,Yes,,Not sure yet,"['Respected', 'Gives good feedback']",people,people,0.3656666666666667
92,,good,average,good,0,24019274,0,,awesome,5,6434,Prof. Win is really helpful in this class. His lecture is clear and in the right pace. I feel I gained a lot from this class.,12/10/2014,2.0,2.0,,5,Really into it,5.0,5.0,1,Yes,1418224817000,,580,Yes,,,"['Caring', 'Respected']",people,people,0.3464285714285714
93,Not Mandatory,good,poor,good,0,23878063,0,,awesome,5,6434,"The class 6.434 covers the fundamental concepts of statistic, it is very important for engineers. The 3 major areas are :   1. Data reductioncompression  (sufficiency) 2. Estimation Theory  3. Hypothesis Testing  Confidence intervals ",11/23/2014,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1416738921000,,580,Yes,,A,[],people,people,0.29125
