tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Chemistry,186,Case Western Reserve University,Mary,,Barkley,776548,3,poor,TEACHER,PROFESSOR,1.7
Nutrition,186,Case Western Reserve University,Hope,,Barkoukis,1711636,1,average,TEACHER,PROFESSOR,2.5
Theatre  Dance,186,Case Western Reserve University,Hannah,,Barna,2073479,3,good,TEACHER,PROFESSOR,5.0
Mechanical Engineering,186,Case Western Reserve University,Paul,,Barnhart,1888822,7,good,TEACHER,PROFESSOR,3.9
Chemical Engineering,186,Case Western Reserve University,Harihara,,Baskaran,656434,6,good,TEACHER,PROFESSOR,4.0
Music,186,Case Western Reserve University,Matthew,,Bassett,890082,0,zero,TEACHER,PROFESSOR,N/A
English,186,Case Western Reserve University,Mark,,Bassett,1450086,1,poor,TEACHER,PROFESSOR,1.0
Economics,186,Case Western Reserve University,Paul,,Bauer,1590033,2,good,TEACHER,PROFESSOR,4.8
Computer Science,186,Case Western Reserve University,Mahdi,,Bayat,2454652,2,good,TEACHER,PROFESSOR,4.0
Religion,186,Case Western Reserve University,Timothy,,Beal,144650,15,good,TEACHER,PROFESSOR,5.0
Anthropology,186,Case Western Reserve University,Cynthia,,Beall,277335,24,average,TEACHER,PROFESSOR,2.5
Medicine,186,Case Western Reserve University,Gurkan,,Bebek,1866226,3,poor,TEACHER,PROFESSOR,2.0
Political Science,186,Case Western Reserve University,Karen,,Beckwith,963295,15,good,TEACHER,PROFESSOR,3.7
Computer Science,186,Case Western Reserve University,Randall,,Beer,17580,30,good,TEACHER,PROFESSOR,4.6
Sociology,186,Case Western Reserve University,Samuel,,Belkin,2348299,5,good,TEACHER,PROFESSOR,4.8
Statistics,186,Case Western Reserve University,Alexandru,,Belu,1284782,3,good,TEACHER,PROFESSOR,4.3
Biology,186,Case Western Reserve University,Rebecca,,Benard,1478962,63,good,TEACHER,PROFESSOR,4.0
Biology,186,Case Western Reserve University,Michael,,Benard,1743044,23,average,TEACHER,PROFESSOR,3.3
Art History,186,Case Western Reserve University,Erin,,Benay,1951526,3,good,TEACHER,PROFESSOR,4.7
Philosophy,186,Case Western Reserve University,Jeremy,,Bendik-Keymer,1445979,12,average,TEACHER,PROFESSOR,2.9
Music,186,Case Western Reserve University,Sophie,,Benn,2459239,1,good,TEACHER,PROFESSOR,4.0
Music,186,Case Western Reserve University,Peter,,Bennett,779075,5,average,TEACHER,PROFESSOR,3.2
Law,186,Case Western Reserve University,Michael,,Benza,1993631,1,good,TEACHER,PROFESSOR,4.5
Physics,186,Case Western Reserve University,Jesse,,Berezovsky,2168134,19,poor,TEACHER,PROFESSOR,2.1
Law,186,Case Western Reserve University,Jessica,,Berg,1589014,1,poor,TEACHER,PROFESSOR,1.0
Modern Languages,186,Case Western Reserve University,Florin,,Berindeanu,489155,18,good,TEACHER,PROFESSOR,3.5
History,186,Case Western Reserve University,Jim,,Bernard,1075413,18,good,TEACHER,PROFESSOR,4.3
Mathematics,186,Case Western Reserve University,Florian,,Besau,2042209,10,average,TEACHER,PROFESSOR,3.0
Economics,186,Case Western Reserve University,Eric,,Bettinger,126650,11,good,TEACHER,PROFESSOR,4.8
Electrical Engineering,186,Case Western Reserve University,Swarup,,Bhunia,838307,16,good,TEACHER,PROFESSOR,3.8
English,186,Case Western Reserve University,Lucy,,Biederman,2167226,5,good,TEACHER,PROFESSOR,4.2
Organizational Behavior,186,Case Western Reserve University,Diana,,Bilimoria,2296964,0,zero,TEACHER,PROFESSOR,N/A
English,186,Case Western Reserve University,Jessica,,Birch,2106103,0,zero,TEACHER,PROFESSOR,N/A
Sociology,186,Case Western Reserve University,Timothy,,Black,1891662,9,good,TEACHER,PROFESSOR,3.6
MacRomolecular Science & Eng,186,Case Western Reserve University,John,,Blackwell,17590,55,average,TEACHER,PROFESSOR,3.3
Physical Education,186,Case Western Reserve University,Freeman,,Blade,1105454,3,good,TEACHER,PROFESSOR,4.3
Theatre amp Dance,186,Case Western Reserve University,Hannah,,Blake,2476448,1,good,TEACHER,PROFESSOR,5.0
Accounting,186,Case Western Reserve University,Heidi,,Blakeway-Phillips,2283334,8,good,TEACHER,PROFESSOR,3.6
Epidemiology,186,Case Western Reserve University,Ronald,,Blanton,2072129,2,average,TEACHER,PROFESSOR,2.5
Accounting,186,Case Western Reserve University,Leonid,,Blazey,201382,22,average,TEACHER,PROFESSOR,3.2
History,186,Case Western Reserve University,Lyz,,Bly,1193814,5,good,TEACHER,PROFESSOR,4.8
Theatre  Dance,186,Case Western Reserve University,Christopher,,Bohan,2272211,3,good,TEACHER,PROFESSOR,4.7
Social Science,186,Case Western Reserve University,Craig,,Boitel,137448,2,good,TEACHER,PROFESSOR,5.0
Organizational Behavior,186,Case Western Reserve University,Rick,,Boland,982200,10,average,TEACHER,PROFESSOR,3.2
Not Specified,186,Case Western Reserve University,Heather,,Boll,1661766,1,good,TEACHER,PROFESSOR,5.0
Communication Sciences,186,Case Western Reserve University,Patrizia,,Bonaventura,839874,7,average,TEACHER,PROFESSOR,2.8
Music,186,Case Western Reserve University,Randy,,Border,890080,1,good,TEACHER,PROFESSOR,5.0
Religion,186,Case Western Reserve University,Joy,,Bostic,1367394,5,good,TEACHER,PROFESSOR,3.5
Finance,186,Case Western Reserve University,Christa,,Bouwman,1122647,3,average,TEACHER,PROFESSOR,3.2
Art,186,Case Western Reserve University,Martin,,Boyle,970689,0,zero,TEACHER,PROFESSOR,N/A
Psychology,186,Case Western Reserve University,Abby,,Braden,1445196,0,zero,TEACHER,PROFESSOR,N/A
Engineering,186,Case Western Reserve University,Jason,,Bradshaw,2000761,16,good,TEACHER,PROFESSOR,4.5
Operations Management,186,Case Western Reserve University,Stephen,,Brady,2293881,7,average,TEACHER,PROFESSOR,2.7
Accounting,186,Case Western Reserve University,Karen,,Braun,1007169,28,good,TEACHER,PROFESSOR,4.4
Epidemiology,186,Case Western Reserve University,Farren,,Briggs,2331435,2,good,TEACHER,PROFESSOR,5.0
Music,186,Case Western Reserve University,Francesca,,Brittan,2063045,3,good,TEACHER,PROFESSOR,5.0
Economics,186,Case Western Reserve University,Sheldon,,Brodsky,49258,45,good,TEACHER,PROFESSOR,3.8
History,186,Case Western Reserve University,John,,Broich,1094837,24,good,TEACHER,PROFESSOR,3.8
Physics,186,Case Western Reserve University,Robert,,Brown,16711,36,good,TEACHER,PROFESSOR,4.6
English,186,Case Western Reserve University,Yvonne,,Bruce,2078324,1,good,TEACHER,PROFESSOR,4.0
Mathematics,186,Case Western Reserve University,Ben,,Brucker,2251706,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,186,Case Western Reserve University,Paul,,Bruno,1917497,5,good,TEACHER,PROFESSOR,4.8
Statistics,186,Case Western Reserve University,Jenny,,Brynjarsdottir,1942441,6,good,TEACHER,PROFESSOR,3.6
Accounting,186,Case Western Reserve University,Tony,,Bucaro,2129170,7,good,TEACHER,PROFESSOR,3.7
Political Science,186,Case Western Reserve University,Justin,,Buchler,781668,28,average,TEACHER,PROFESSOR,3.4
Electrical Engineering,186,Case Western Reserve University,Marc,,Buchner,17228,56,average,TEACHER,PROFESSOR,2.6
Psychology,186,Case Western Reserve University,Jane,,Buder Shapiro,17848,67,good,TEACHER,PROFESSOR,3.8
Chemistry,186,Case Western Reserve University,Clemens,,Burda,1672701,4,good,TEACHER,PROFESSOR,4.8
Biology,186,Case Western Reserve University,Susan,,Burden-Gulley,1973384,4,good,TEACHER,PROFESSOR,4.5
Chemistry,186,Case Western Reserve University,James,,Burgess,274726,25,average,TEACHER,PROFESSOR,3.0
English,186,Case Western Reserve University,Barbara,,Burgess-Van Aken,1211068,19,good,TEACHER,PROFESSOR,4.2
English,186,Case Western Reserve University,Matthew,,Burkhart,2234458,4,good,TEACHER,PROFESSOR,3.5
Communication Sciences,186,Case Western Reserve University,Patricia,,Burrant,1854932,1,good,TEACHER,PROFESSOR,4.5
Classics,186,Case Western Reserve University,Charles,,Burroughs,1496857,2,average,TEACHER,PROFESSOR,2.8
English,186,Case Western Reserve University,Nicole,,Burt,2409635,4,average,TEACHER,PROFESSOR,2.5
History,186,Case Western Reserve University,Marcia,,Butler,1057200,5,poor,TEACHER,PROFESSOR,2.0
Mathematics,186,Case Western Reserve University,Christopher,,Butler,2347018,0,zero,TEACHER,PROFESSOR,N/A
Psychology,186,Case Western Reserve University,Jennifer,,Butler,292917,85,average,TEACHER,PROFESSOR,3.0
Mathematics,186,Case Western Reserve University,Chris,,Butler,16705,263,good,TEACHER,PROFESSOR,4.5
Physics,186,Case Western Reserve University,Gavin A,,Buxton,1062057,6,average,TEACHER,PROFESSOR,3.1
English,186,Case Western Reserve University,Gabrielle,,Bychowski,2284859,4,good,TEACHER,PROFESSOR,4.3
English,186,Case Western Reserve University,Cara,,Byrne,2218670,7,good,TEACHER,PROFESSOR,4.3
General Education,186,Case Western Reserve University,Stephen,,Cagan,1563371,2,good,TEACHER,PROFESSOR,4.2
Social Work,186,Case Western Reserve University,Jamie,,Cage,1952747,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,186,Case Western Reserve University,Umut,,Caglar,1949051,7,good,TEACHER,PROFESSOR,4.0
Mathematics,186,Case Western Reserve University,Umut,,Calgar,1938465,3,average,TEACHER,PROFESSOR,3.2
English,186,Case Western Reserve University,Robert,,Calton,2166752,22,good,TEACHER,PROFESSOR,4.7
Mathematics,186,Case Western Reserve University,Daniela,,Calvetti,1834920,5,good,TEACHER,PROFESSOR,4.0
Administration,186,Case Western Reserve University,Lisa,,Camp,2517369,0,zero,TEACHER,PROFESSOR,N/A
Physics,186,Case Western Reserve University,ED,,Caner,1849058,5,average,TEACHER,PROFESSOR,3.2
Modern Languages,186,Case Western Reserve University,Christine,,Cano,49255,10,good,TEACHER,PROFESSOR,3.5
Management,186,Case Western Reserve University,Kevin,,Carduff,704970,18,average,TEACHER,PROFESSOR,3.2
Economics,186,Case Western Reserve University,Mariana,,Carerra,1714032,7,average,TEACHER,PROFESSOR,3.4
Biochemistry,186,Case Western Reserve University,Paul,,Carey,951071,7,average,TEACHER,PROFESSOR,3.3
Accounting,186,Case Western Reserve University,Melissa,,Carlisle,2121404,20,good,TEACHER,PROFESSOR,3.6
Economics,186,Case Western Reserve University,Bo,,Carlsson,814072,2,average,TEACHER,PROFESSOR,3.2
Law,186,Case Western Reserve University,David,,Carney,318418,15,good,TEACHER,PROFESSOR,3.6
Economics,186,Case Western Reserve University,Mariana,,Carrera,2142384,2,good,TEACHER,PROFESSOR,4.0
Materials Science,186,Case Western Reserve University,Jennifer,L.W.,Carter,1851412,4,average,TEACHER,PROFESSOR,2.9
Organizational Behavior,186,Case Western Reserve University,Susan,,Case,356273,15,average,TEACHER,PROFESSOR,3.0
Modern Languages,186,Case Western Reserve University,Haydee,E,Castillo,1863751,3,poor,TEACHER,PROFESSOR,2.0
Modern Languages,186,Case Western Reserve University,Denise,,Caterinacci,51989,10,average,TEACHER,PROFESSOR,3.4
Nutrition,186,Case Western Reserve University,David,,Cavallo,1964637,2,good,TEACHER,PROFESSOR,3.5
Electrical Engineering,186,Case Western Reserve University,Murat Cenk,,Cavusoglu,801648,13,average,TEACHER,PROFESSOR,2.8
Materials Science,186,Case Western Reserve University,James,,Cawley,25177,28,average,TEACHER,PROFESSOR,3.3
Medicine,186,Case Western Reserve University,Ronald,,Cechner,415645,26,good,TEACHER,PROFESSOR,4.0
Social Science,186,Case Western Reserve University,Gabriella,,Celeste,2178935,5,average,TEACHER,PROFESSOR,2.8
Statistics,186,Case Western Reserve University,Minwoo,,Chae,2361887,7,poor,TEACHER,PROFESSOR,2.1
Mathematics,186,Case Western Reserve University,Minwoo,,Chae,2362135,0,zero,TEACHER,PROFESSOR,N/A
Modern Languages,186,Case Western Reserve University,Man-Lih,,Chai,2225137,2,average,TEACHER,PROFESSOR,3.0
Biology,186,Case Western Reserve University,Leena,,Chakravarty,2033357,3,average,TEACHER,PROFESSOR,3.1
Electrical Engineering,186,Case Western Reserve University,Vira,,Chankong,30543,39,poor,TEACHER,PROFESSOR,2.3
Music,186,Case Western Reserve University,Eric,,Charnofsky,32286,12,good,TEACHER,PROFESSOR,4.7
Social Science,186,Case Western Reserve University,Pranab,,Chatterjee,137465,0,zero,TEACHER,PROFESSOR,N/A
Biochemistry,186,Case Western Reserve University,Calvin,,Chi,1749628,8,good,TEACHER,PROFESSOR,3.9
English,186,Case Western Reserve University,Michael,,Chiappini,2006909,1,good,TEACHER,PROFESSOR,5.0
Biology,186,Case Western Reserve University,Hillel,,Chiel,110368,16,good,TEACHER,PROFESSOR,4.2
English,186,Case Western Reserve University,Eric,,Chilton,1576147,13,good,TEACHER,PROFESSOR,3.9
Mathematics,186,Case Western Reserve University,Sandra,,Chincholkar,2474838,0,zero,TEACHER,PROFESSOR,N/A
Law,186,Case Western Reserve University,Laura,,Chisolm,402186,4,average,TEACHER,PROFESSOR,2.6
Physics,186,Case Western Reserve University,Gary,,Chottiner,191996,38,average,TEACHER,PROFESSOR,2.7
Physics,186,Case Western Reserve University,Cory,,Christenson,1887296,16,good,TEACHER,PROFESSOR,4.4
Communication Sciences,186,Case Western Reserve University,Angela,,Ciccia,854981,3,good,TEACHER,PROFESSOR,4.7
Music,186,Case Western Reserve University,Gary,,Ciepluch,88775,18,average,TEACHER,PROFESSOR,3.3
English,186,Case Western Reserve University,Katherine,,Clark,1066634,3,good,TEACHER,PROFESSOR,3.5
Management,186,Case Western Reserve University,Barbara,,Clemenson,835850,34,good,TEACHER,PROFESSOR,4.2
Economics,186,Case Western Reserve University,David,,Clingingsmith,1646907,7,good,TEACHER,PROFESSOR,3.5
Religion,186,Case Western Reserve University,Brian,,Clites,2483662,1,good,TEACHER,PROFESSOR,5.0
English,186,Case Western Reserve University,Michael,,Clune,1922512,3,good,TEACHER,PROFESSOR,4.7
English,186,Case Western Reserve University,Ana,,Codita,2128877,6,average,TEACHER,PROFESSOR,2.9
Organizational Behavior,186,Case Western Reserve University,Corinne,,Coen,1419449,8,good,TEACHER,PROFESSOR,4.2
Law,186,Case Western Reserve University,Ronald,,Coffey,184221,14,poor,TEACHER,PROFESSOR,2.5
History,186,Case Western Reserve University,Daniel,,Cohen,967129,3,average,TEACHER,PROFESSOR,3.3
Biochemistry,186,Case Western Reserve University,Jeff,,Coller,1049582,0,zero,TEACHER,PROFESSOR,N/A
Geology,186,Case Western Reserve University,George,,Collins,1308214,1,average,TEACHER,PROFESSOR,3.0
Mechanical Engineering,186,Case Western Reserve University,Sunniva,,Collins,1995398,5,good,TEACHER,PROFESSOR,3.8
Information Systems,186,Case Western Reserve University,Fred,,Collopy,88362,6,good,TEACHER,PROFESSOR,4.8
Biology,186,Case Western Reserve University,Constantino,,Colombo,1161373,0,zero,TEACHER,PROFESSOR,N/A
Music,186,Case Western Reserve University,Luke,,Conklin,2254509,1,average,TEACHER,PROFESSOR,3.0
English,186,Case Western Reserve University,Bryan,,Conn,1495330,1,good,TEACHER,PROFESSOR,5.0
Computer Science,186,Case Western Reserve University,Harold,,Connamacher,1658282,82,good,TEACHER,PROFESSOR,4.8
Psychology,186,Case Western Reserve University,Arin,,Connell,1450628,15,average,TEACHER,PROFESSOR,3.5
Accounting,186,Case Western Reserve University,Dennis,,Conrad,2305625,6,average,TEACHER,PROFESSOR,2.8
Mathematics,186,Case Western Reserve University,Terri,,Contenza,1056661,75,average,TEACHER,PROFESSOR,3.3
Music,186,Case Western Reserve University,Alexander,,Cooke,2456326,1,good,TEACHER,PROFESSOR,4.0
Psychology,186,Case Western Reserve University,Andrew,,Cooper,1916109,10,good,TEACHER,PROFESSOR,4.5
Psychology,186,Case Western Reserve University,Rachael,,Cooper,1933936,0,zero,TEACHER,PROFESSOR,N/A
Cognitive Science,186,Case Western Reserve University,Kensy,,Cooperrider,1650610,4,good,TEACHER,PROFESSOR,4.8
Modern Languages,186,Case Western Reserve University,Marta,Gabriela,Copertari,2016765,3,good,TEACHER,PROFESSOR,4.5
Physics,186,Case Western Reserve University,Craig,,Copi,103616,44,average,TEACHER,PROFESSOR,3.1
Communication Sciences,186,Case Western Reserve University,Alyssa,,Coreno,2278302,1,good,TEACHER,PROFESSOR,5.0
Writing,186,Case Western Reserve University,Kaysha,,Corinealdi,2130510,0,zero,TEACHER,PROFESSOR,N/A
Nutrition,186,Case Western Reserve University,Shannon,,Corlett,2018535,1,good,TEACHER,PROFESSOR,4.0
Marketing,186,Case Western Reserve University,Stanton,,Cort,939775,7,poor,TEACHER,PROFESSOR,2.1
Physics,186,Case Western Reserve University,Corbin,,Covault,82228,112,good,TEACHER,PROFESSOR,4.2
Music,186,Case Western Reserve University,Georgia,,Cowart,1409627,2,good,TEACHER,PROFESSOR,4.5
Music,186,Case Western Reserve University,Paul,,Cox,1431751,1,good,TEACHER,PROFESSOR,3.5
Biomedical Engineering,186,Case Western Reserve University,Patrick,,Crago,1574104,2,average,TEACHER,PROFESSOR,3.2
Chemistry,186,Case Western Reserve University,Carlos,,Crespo,1709450,2,average,TEACHER,PROFESSOR,3.0
Biology,186,Case Western Reserve University,Darin,,Croft,1836102,3,good,TEACHER,PROFESSOR,5.0
Biochemistry,186,Case Western Reserve University,Colleen,,Croniger,1928420,8,average,TEACHER,PROFESSOR,3.1
Sociology,186,Case Western Reserve University,Cory,,Cronin,2016931,0,zero,TEACHER,PROFESSOR,N/A
Finance,186,Case Western Reserve University,Randy,,Cross,1179411,0,zero,TEACHER,PROFESSOR,N/A
Biology,186,Case Western Reserve University,Christopher,,Cullis,821053,6,average,TEACHER,PROFESSOR,2.8
Art History,186,Case Western Reserve University,Michael,,Cunningham,628601,5,poor,TEACHER,PROFESSOR,1.9
Chemistry,186,Case Western Reserve University,Krista,,Cunningham,2331439,15,good,TEACHER,PROFESSOR,4.0
Law,186,Case Western Reserve University,Joseph,,Custer,2428673,1,poor,TEACHER,PROFESSOR,1.0
Modern Languages,186,Case Western Reserve University,Margaretmary,,Daley,51986,11,good,TEACHER,PROFESSOR,4.1
Mechanical Engineering,186,Case Western Reserve University,Kathryn,,Daltorio,2359766,6,poor,TEACHER,PROFESSOR,2.0
Nursing,186,Case Western Reserve University,Cynthia,,Danko,2344288,2,poor,TEACHER,PROFESSOR,1.0
Sociology,186,Case Western Reserve University,Dale,,Dannefer,927544,4,average,TEACHER,PROFESSOR,3.0
Modern Languages,186,Case Western Reserve University,Yoram,,Daon,1710274,1,average,TEACHER,PROFESSOR,2.5
Biology,186,Case Western Reserve University,Lopamudra,,Das,1815739,2,average,TEACHER,PROFESSOR,2.8
Education,186,Case Western Reserve University,Denise,K,Davis,1785477,4,good,TEACHER,PROFESSOR,5.0
Materials Science,186,Case Western Reserve University,Mark,,De Guire,599287,54,average,TEACHER,PROFESSOR,2.8
Cognitive Science,186,Case Western Reserve University,William,,Deal,64706,23,good,TEACHER,PROFESSOR,4.6
Statistics,186,Case Western Reserve University,Sara,,Debanne,2323292,0,zero,TEACHER,PROFESSOR,N/A
Nursing,186,Case Western Reserve University,Michael,J,Decker,2145133,0,zero,TEACHER,PROFESSOR,N/A
History,186,Case Western Reserve University,Andreau,,Degiorgi,1057211,2,good,TEACHER,PROFESSOR,4.5
Materials Science,186,Case Western Reserve University,Mark,,Deguire,1811789,13,average,TEACHER,PROFESSOR,3.3
Nursing,186,Case Western Reserve University,Mary,,Dehaan,1640460,2,good,TEACHER,PROFESSOR,5.0
Biochemistry,186,Case Western Reserve University,Pieter,,Dehaseth,1224601,2,good,TEACHER,PROFESSOR,4.0
Sociology,186,Case Western Reserve University,Gary,,Deimling,753179,8,average,TEACHER,PROFESSOR,3.4
Physics,186,Case Western Reserve University,Robert,,Deissler,1347413,14,poor,TEACHER,PROFESSOR,1.9
Physical Education,186,Case Western Reserve University,Robert,,Del Rosa,473837,5,good,TEACHER,PROFESSOR,4.7
English,186,Case Western Reserve University,Joseph,,DeLong,2224801,2,good,TEACHER,PROFESSOR,4.5
Psychology,186,Case Western Reserve University,Heath,,Demaree,274723,46,good,TEACHER,PROFESSOR,4.6
English,186,Case Western Reserve University,Gusztav,,Demeter,2127988,14,good,TEACHER,PROFESSOR,4.4
Finance,186,Case Western Reserve University,Yuliya,,Demyanyk,2193697,1,poor,TEACHER,PROFESSOR,1.0
Biomedical Engineering,186,Case Western Reserve University,Cheri,,Deng,838637,2,poor,TEACHER,PROFESSOR,1.2
Statistics,186,Case Western Reserve University,Manfred,,Denker,1065526,1,poor,TEACHER,PROFESSOR,1.0
Law,186,Case Western Reserve University,George,,Dent,1098702,5,good,TEACHER,PROFESSOR,3.6
Engineering,186,Case Western Reserve University,Philip,,Derbesy,2363718,1,good,TEACHER,PROFESSOR,5.0
Psychology,186,Case Western Reserve University,Douglas,,Detterman,25479,9,good,TEACHER,PROFESSOR,3.9
Biology,186,Case Western Reserve University,Sarah,,Diamond,2352620,0,zero,TEACHER,PROFESSOR,N/A
Psychology,186,Case Western Reserve University,Marcus,,Dickson,1203826,0,zero,TEACHER,PROFESSOR,N/A
English,186,Case Western Reserve University,Terry,,Dickson,1204480,0,zero,TEACHER,PROFESSOR,N/A
Classics,186,Case Western Reserve University,Kevin,,Dicus,1811909,4,good,TEACHER,PROFESSOR,4.8
English,186,Case Western Reserve University,Scott,,Dill,2132824,9,good,TEACHER,PROFESSOR,5.0
Biology,186,Case Western Reserve University,Nancy,,Dilulio,1626731,40,average,TEACHER,PROFESSOR,2.7
Psychology,186,Case Western Reserve University,Anastasia,,Dimitropoulos,913960,10,good,TEACHER,PROFESSOR,3.7
Nursing,186,Case Western Reserve University,Erin,,Discenza,1969094,5,good,TEACHER,PROFESSOR,3.8
Medicine,186,Case Western Reserve University,Clark,,Distelhorst,530723,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,186,Case Western Reserve University,Julia,,Dobrosotskaya,1863967,14,good,TEACHER,PROFESSOR,4.8
Modern Languages,186,Case Western Reserve University,Gilbert,,Doho,572408,14,average,TEACHER,PROFESSOR,3.3
